carid,make,model,year,transmissionid,engineid
11425,jeep,cherokee,1986.0,10,11
11426,honda,civic ex-t,2016.0,15,16
11427,jeep,renegade limited,2016.0,19,15
11428,dodge,charger sxt,2015.0,13,15
11429,dodge,challenger sxt,2014.0,7,13
11430,toyota,camry se,2015.0,20,3
11431,kia,soul plus,2018.0,1,6
11432,mazda,mx-5 miata,1996.0,15,11
11433,chevrolet,suburban,2000.0,1,1
11434,ford,f350,2020.0,11,7
11435,ford,focus st,2013.0,14,10
11436,chevrolet,silverado 1500 double cab,2014.0,8,9
11437,chevrolet,avalanche 1500,2005.0,12,16
11438,bmw,4 series,2014.0,18,16
11439,acura,tl,2010.0,12,7
11440,chevrolet,silverado (classic) 1500 crew cab,2007.0,15,3
11441,acura,tl,2002.0,19,16
11442,buick,regal,2011.0,15,16
11443,lexus,hs,2011.0,7,5
11444,toyota,tundra double cab,2014.0,6,3
11445,lexus,es,2011.0,14,9
11446,lexus,is300,2002.0,5,19
11447,tesla,x,2015.0,12,20
11448,chevrolet,master deluxe,1939.0,20,1
11449,ford,f250 crew cab,2001.0,13,13
11450,nissan,murano sl awd,2005.0,0,12
11451,nissan,sentra sv,2015.0,16,9
11452,ford,bronco,1996.0,13,4
11453,toyota,corolla,2003.0,12,15
11454,volkswagen,cabrio convertible,1999.0,0,18
11455,mercedes-benz,sprinter 3500,2015.0,5,13
11456,mercury,sable ls 2000,2000.0,17,20
11457,mercedes-benz,benz sprinter,2015.0,0,0
11458,lexus,is,2006.0,10,4
11459,nissan,rogue s,2017.0,16,19
11460,chevrolet,silverado 1500 work,2012.0,15,20
11461,honda,accord 2001,2001.0,9,6
11462,audi,tt,2009.0,7,3
11463,dodge,challenger sxt,2012.0,10,3
11464,ram,chassis 3500 6.7l,2018.0,10,6
11465,nissan,altima 2.5,2010.0,17,9
11466,fiat,500x,2018.0,2,10
11467,ford,super duty f-350,1999.0,15,12
11468,ford,f550 super duty xl 6.7l,2018.0,8,19
11469,ford,f-350 super duty,1997.0,15,14
11470,audi,tt turbo quattro,2001.0,12,14
11471,bmw,428i,2015.0,1,8
11472,mitsubishi,mirage only 56k,2017.0,3,20
11473,nissan,altima 2.5 s,2006.0,17,1
11474,toyota,rav4 sport,2008.0,17,1
11475,jeep,grand cherokee high altitude x,2018.0,5,5
11476,toyota,sequoia limited,2007.0,5,17
11477,gmc,sierra 1500 truck,2007.0,17,2
11478,ram,promaster 2500,2019.0,15,19
11479,subaru,impreza 2.5i awd 4d,2010.0,17,12
11480,jeep,grand cherokee laredo,2015.0,0,13
11481,acura,tsx w/tech,2013.0,0,9
11482,ford,e-series cargo,2013.0,11,9
11483,kia,soul plus automatic,2014.0,11,0
11484,ford,flex sel fwd,2019.0,2,16
11485,mercedes-benz,cla-class,2020.0,4,17
11486,lexus,ls 460,2010.0,3,17
11487,ford,f150 super crew,2012.0,9,10
11488,pontiac,trans am firehawk,2000.0,1,3
11489,gmc,sierra z71,1996.0,6,7
11490,nissan,altima 2.5se,2015.0,13,2
11491,toyota,corolla matrix,2004.0,5,2
11492,toyota,scion xb,2005.0,12,7
11493,bmw,x5,2006.0,7,8
11494,kia,rio lx sedan,2014.0,4,15
11495,nissan,altima s sedan,2014.0,17,5
11496,honda,civic lx sedan 5-speed,2012.0,0,20
11497,chevrolet,silverado xcab,1998.0,5,8
11498,nissan,sentra sr,2014.0,8,6
11499,honda,civic sedan dr cvt ex-l,2016.0,6,14
11500,chrysler,town/country,2001.0,12,0
11501,dodge,charger sxt,2012.0,11,2
11502,ford,fiesta se sedan,2012.0,4,12
11503,dodge,grand caravan se wheelcha,2018.0,3,16
11504,dodge,grand caravan sxt wheelch,2016.0,11,5
11505,lexus,is250,2006.0,19,4
11506,dodge,grand caravan sxt wheelch,2015.0,12,17
11507,toyota,matrix,2005.0,12,1
11508,mitsubishi,mirage,2015.0,3,19
11509,chevrolet,silverado 3500 flat,2007.0,4,16
11510,volvo,xc60,2011.0,20,1
11511,volkswagen,beetle,1967.0,7,0
11512,hyundai,elantra gls,2007.0,12,0
11513,chevrolet,trailblazer ls,2002.0,17,4
11514,toyota,stout,1967.0,14,5
11515,hyundai,elantra only 16k miles,2020.0,4,9
11516,ford,edge sel fwd,2017.0,18,3
11517,bmw,6 series,2005.0,12,15
11518,audi,a6 quattro,2017.0,17,12
11519,kia,forte5,2016.0,9,9
11520,toyota,solara,2001.0,14,13
11521,ford,transit 350 van,2018.0,20,12
11522,nissan,altima only 77k miles,2016.0,4,13
11523,ford,f-250 super duty,2008.0,14,9
11524,volkswagen,passat 3.6l,2007.0,5,8
11525,ford,flex sel fwd,2018.0,12,20
11526,lexus,rc,2015.0,14,16
11527,honda,cr-v ex,2002.0,15,3
11528,chevrolet,hhr ls,2006.0,2,14
11529,cadillac,sls,2004.0,10,11
11530,honda,crv,2001.0,11,17
11531,acura,isx,2015.0,9,20
11532,ford,e250 cargo,2011.0,4,9
11533,nissan,370z coupe,2013.0,16,4
11534,ford,fiesta only 106k miles,2011.0,19,4
11535,ford,f-150 xlt,2012.0,9,0
11536,bmw,550i,2013.0,13,0
11537,ford,explorer sport trac,2001.0,12,12
11538,cadillac,ats,2015.0,0,10
11539,jeep,wrangler unlimited wd dr rubicon,2011.0,15,13
11540,chrysler,newport,1964.0,20,16
11541,bmw,7 series,2013.0,16,1
11542,ford,f100,1956.0,14,0
11543,chevrolet,cruze only 89k miles,2014.0,13,1
11544,gmc,yukon xl 1500,2013.0,9,18
11545,nissan,sentra 2.0 s,2010.0,0,19
11546,audi,a8 l,2011.0,12,11
11547,dodge,dart. gt,1964.0,2,14
11548,audi,a5,2012.0,3,17
11549,mazda,mazda5,2008.0,17,17
11550,volkswagen,jetta sedan,2014.0,18,20
11551,toyota,ch-r,2018.0,1,20
11552,fiat,500 abarth,2015.0,17,10
11553,ford,f150 super crew,2011.0,19,13
11554,volkswagen,bus,1968.0,18,10
11555,ford,mustang ecoboost premium,2017.0,14,5
11556,nissan,sentra dr sdn i cvt sr,2016.0,15,10
11557,mercedes-benz,benz c230,2007.0,1,20
11558,toyota,land cruiser,2000.0,1,6
11559,ford,f350 dually,2008.0,13,13
11560,chevrolet,c30,1968.0,16,19
11561,bmw,325i,2002.0,19,8
11562,dodge,3500,2000.0,8,10
11563,volkswagen,passat se,2012.0,18,11
11564,mercedes-benz,560 sl,1987.0,6,2
11565,nissan,altima 2.5 s,2010.0,4,11
11566,chrysler,crossfire coupe,2004.0,0,18
11567,mercedes-benz,c230 kompressor,2004.0,13,5
11568,acura,tsx 2.4,2007.0,11,20
11569,gmc,acadia,2008.0,6,10
11570,mercedes-benz,benz e320,2004.0,6,10
11571,porsche,911 turbo,2002.0,16,16
11572,subaru,impreza outback sport,1998.0,1,8
11573,ford,f-150 xl,2014.0,14,13
11574,jeep,wrangler unlimited lj,2004.0,1,14
11575,toyota,corolla l,2016.0,2,7
11576,toyota,camry le,2010.0,1,0
11577,hyundai,santa fe sport 2.4l,2016.0,3,11
11578,nissan,frontier sv,2016.0,20,4
11579,chevrolet,silverado 1500 ls,2015.0,12,7
11580,toyota,tacoma sr,2017.0,18,17
11581,bmw,x5 xdrive35d,2010.0,6,12
11582,mercedes-benz,benz clk 550,2007.0,10,14
11583,volkswagen,passat 2.0t s,2018.0,14,4
11584,infiniti,fx35,2004.0,2,4
11585,ram,1500 express,2016.0,17,5
11586,dodge,challenger sxt,2016.0,6,17
11587,chevrolet,malibu lt,2015.0,14,11
11588,honda,accord crosstour ex-l,2010.0,16,0
11589,gmc,sierra 2500hd,2008.0,9,6
11590,mercedes-benz,c 300 sport,2016.0,8,11
11591,chrysler,300 series touring,2013.0,12,19
11592,chrysler,300 series,2013.0,8,20
11593,mercury,mariner,2008.0,8,10
11594,volkswagen,passat 1.8t wolfsburg,2015.0,16,3
11595,nissan,pathfinder s,2017.0,9,5
11596,cadillac,dts limo,2007.0,15,19
11597,mercedes-benz,gl 550 4matic,2009.0,16,11
11598,ford,flex sel,2013.0,6,0
11599,toyota,prius standard package,2015.0,9,10
11600,chevrolet,silverado 1500 lt 4x4,2012.0,0,8
11601,ford,f350,2003.0,11,6
11602,ford,c-max energi titanium,2017.0,6,2
11603,rover,lr3,2008.0,8,13
11604,mercedes-benz,benz 300d,1978.0,17,2
11605,gmc,safari passenger,2000.0,2,6
11606,ford,mustang,1967.0,15,6
11607,volvo,c70,2008.0,9,11
11608,toyota,camry xle v6,2006.0,13,8
11609,volkswagen,e-golf,2015.0,15,14
11610,chevrolet,astro van,2000.0,17,12
11611,ford,explorer xlt fwd,2019.0,9,16
11612,chevrolet,volt premium,2014.0,13,9
11613,toyota,celica,1980.0,10,15
11614,toyota,camry xle,2015.0,11,9
11615,honda,cr-v ex,2016.0,0,12
11616,toyota,sienna xle 7-passenger auto access seat,2017.0,10,4
11617,kia,sportage,2016.0,0,18
11618,acura,mdx,2013.0,6,4
11619,mercedes-benz,gle 350,2017.0,17,15
11620,dodge,challenger rt,2012.0,4,10
11621,chevrolet,chevelle,1970.0,12,0
11622,ford,edge sel,2017.0,12,16
11623,ford,roasdster,1931.0,8,0
11624,ford,f250 diesel powerstroke xlt,2001.0,14,14
11625,ford,fiesta se sedan,2017.0,14,0
11626,bmw,540i,2018.0,3,13
11627,rover,velar,2019.0,17,8
11628,chevrolet,suburban 2500,2001.0,15,15
11629,nissan,rogue sv,2012.0,9,9
11630,mazda,mazda3 s sport,2011.0,17,6
11631,chevrolet,silverado,1998.0,12,17
11632,ford,f350 dump truck,1963.0,10,0
11633,toyota,rav4,2005.0,19,13
11634,hyundai,tucson,2011.0,13,10
11635,chevrolet,blazer,1991.0,19,3
11636,hyundai,genesis coupe 2.0t,2013.0,1,17
11637,chevrolet,camaro,1999.0,0,5
11638,toyota,tundra wd sr double cab .' bed .l,2019.0,5,17
11639,chevrolet,elcamino,1987.0,7,10
11640,audi,s4 3.0t quattro premium plus,2018.0,19,3
11641,chevrolet,corvette grand sport,2017.0,19,14
11642,toyota,camry solara se,2007.0,0,13
11643,lexus,rc,2016.0,4,14
11644,volkswagen,jetta sportwagen tdi,2014.0,8,8
11645,jeep,wrangler sport 4x4,2010.0,14,15
11646,toyota,prius prime premium,2018.0,2,1
11647,chevrolet,express 2500 cargo,2012.0,19,16
11648,chevrolet,cruze turbo,2012.0,13,14
11649,jeep,wrangler unlimited sport,2020.0,16,2
11650,ford,transit connect xl,2016.0,19,12
11651,chevrolet,c10,1981.0,6,13
11652,dodge,power wagon,1978.0,13,16
11653,chevrolet,ii nova,1967.0,8,20
11654,subaru,outback limited,2010.0,19,18
11655,ram,5500,2016.0,15,12
11656,nissan,xterra,2012.0,1,4
11657,lexus,gs,2011.0,5,0
11658,ram,1500 regular cab,2015.0,18,4
11659,infiniti,m37,2012.0,12,14
11660,chevrolet,malibu,1965.0,9,1
11661,acura,nsx,2017.0,13,13
11662,bmw,x5 3.0 sport,2004.0,4,8
11663,mini,cooper s,2005.0,13,11
11664,mercedes-benz,gls-class,2017.0,3,6
11665,bmw,430i sport,2018.0,2,5
11666,gmc,sierra 1500,1988.0,10,12
11667,lexus,rx,2019.0,18,10
11668,hyundai,santa fe gls awd,2008.0,5,6
11669,dodge,durango slt,2007.0,12,13
11670,chevrolet,express 2500 cargo,2013.0,0,9
11671,ford,super duty f- drw xl wd reg cab wb ca,2018.0,18,18
11672,ford,coe,1948.0,10,5
11673,ford,f800,1999.0,2,6
11674,pontiac,grand prix,2008.0,8,5
11675,ram,promaster 2500 high roof 159 wb cargo van,2019.0,20,19
11676,ford,"transit 250 high roof 148"" wb extended extended cargo van",2020.0,20,7
11677,ford,e350 high roof cargo van,2013.0,11,8
11678,ford,"transit 250 high roof 148"" wb cargo van",2019.0,19,11
11679,chevrolet,silverado 2500 utility truck,2009.0,10,8
11680,chevrolet,express 3500 10' box truck,2015.0,15,8
11681,chevrolet,express 1500 cargo van,2006.0,4,15
11682,chevrolet,express 2500 cargo van,2018.0,2,12
11683,chevrolet,2500 extended cargo van,2020.0,13,16
11684,lexus,sc 430,2004.0,1,20
11685,nissan,altima 3.5 se,2005.0,6,10
11686,audi,a3,2017.0,12,7
11687,lexus,es 300h,2013.0,13,1
11688,mazda,b2300 truck,1996.0,13,3
11689,tesla,model 3 s x y,2020.0,1,1
11690,nissan,pathfinder wd dr s,2016.0,6,4
11691,lexus,is 200t,2016.0,9,10
11692,chevrolet,silverado 1500 work tr,2017.0,18,16
11693,gmc,sierra 3500 denali,2014.0,0,4
11694,ram,3500 laramie,2014.0,4,7
11695,nissan,titan sv,2013.0,11,6
11696,toyota,paseo,1993.0,1,0
11697,dodge,journey r/t,2013.0,6,19
11698,chevrolet,colorado extended cab,2015.0,2,10
11699,ford,f-450,2001.0,7,4
11700,chevrolet,c10,1976.0,1,18
11701,lexus,is 300,2001.0,7,12
11702,ford,f-150 king ranch supercrew,2007.0,1,8
11703,ford,sport trac,2003.0,0,15
11704,mazda,miata convertible,1999.0,4,13
11705,chrysler,pt cruiser limited,2006.0,0,14
11706,subaru,outback l.l. bean edition,2006.0,3,6
11707,jeep,grand cherokee laredo,2002.0,6,11
11708,chevrolet,3500hd,2005.0,20,11
11709,mercedes-benz,s550,2008.0,2,3
11710,ford,f550 super duty,2004.0,13,19
11711,ford,focus hatchback,2007.0,8,19
11712,ford,f-750,2015.0,0,19
11713,ram,1500 tradesman quad cab,2013.0,9,17
11714,mazda,mazda3 i grand touring,2012.0,18,13
11715,chevrolet,k5 blazer,1978.0,18,7
11716,dodge,magnum,2005.0,19,8
11717,toyota,camry se,2018.0,18,19
11718,ford,crown victoria,2009.0,16,11
11719,ford,focus only 49k miles,2014.0,1,0
11720,mercedes-benz,benz gla250,2020.0,15,1
11721,jaguar,s-type,2006.0,2,16
11722,kia,forte only 60k miles,2015.0,18,16
11723,toyota,camry hybrid xle,2014.0,4,3
11724,nissan,juke dr wgn cvt nismo rs awd,2015.0,11,9
11725,chevrolet,silverado 2500 hd,2004.0,17,1
11726,ford,econoline e150,1994.0,19,5
11727,porsche,macan,2015.0,12,19
11728,ford,f250 lariat,1991.0,18,11
11729,ford,econoline,1966.0,12,10
11730,ford,e450,2005.0,5,19
11731,audi,s4 3.0t quattro premium plus,2014.0,3,8
11732,mercedes-benz,benz e300,2017.0,15,16
11733,chevrolet,volt,2016.0,9,9
11734,bmw,5 series,2015.0,19,15
11735,ram,3500 laramie,2016.0,9,7
11736,nissan,versa only 58k miles,2015.0,15,6
11737,ford,ecosport titanium wd,2019.0,16,14
11738,dodge,durango,2001.0,20,15
11739,mercedes-benz,benz cl600 lorinser,2001.0,4,8
11740,gmc,vandura,1989.0,20,2
11741,volkswagen,tiguan,2011.0,0,4
11742,bmw,535i m sport package,2013.0,11,8
11743,bmw,320i,2016.0,4,0
11744,bmw,x3 m3,2007.0,11,14
11745,mercedes-benz,clk430,2003.0,13,3
11746,mercedes-benz,cla-class only,2015.0,9,16
11747,audi,a6,2012.0,6,17
11748,mazda,mazda5,2013.0,8,1
11749,honda,civic ex-l w/navi,2018.0,2,6
11750,subaru,impreza wrx,2006.0,9,15
11751,jeep,cherokee wd dr overland,2016.0,16,2
11752,subaru,ascent touring,2021.0,12,1
11753,chevrolet,silverado 2500hd crew cab,2008.0,1,12
11754,pontiac,firebird formula 350,1989.0,17,13
11755,toyota,prius hybrid touring,2008.0,3,14
11756,nissan,frontier,2001.0,1,10
11757,mercedes-benz,c350,2006.0,19,2
11758,honda,accord ex coupe at,2011.0,6,20
11759,ram,express x regular cab ',2017.0,9,6
11760,chevrolet,silverado 2500 lt,2018.0,9,10
11761,jeep,wrangler unlimited x,2008.0,9,14
11762,toyota,camry se,2012.0,17,5
11763,chevrolet,traverse lt,2016.0,19,18
11764,chevrolet,s10,2003.0,1,7
11765,hyundai,azera,2006.0,2,8
11766,toyota,gr supra,2020.0,11,6
11767,ram,2500 slt,2006.0,18,12
11768,mazda,mazda5,2009.0,4,11
11769,bmw,i3,2015.0,2,11
11770,nissan,armada platinum,2011.0,13,19
11771,ford,f-150 lariat,2013.0,17,18
11772,mazda,mazda3,2007.0,0,20
11773,nissan,kicks,2019.0,15,14
11774,alfa-romeo,romeo stelvio,2019.0,14,7
11775,hyundai,ioniq hybrid,2018.0,17,17
11776,mazda,cx-5,2018.0,17,16
11777,mazda,b3000,2005.0,8,3
11778,ford,econoline,2000.0,15,3
11779,nissan,armada,2010.0,6,20
11780,toyota,camry only 75k miles,2007.0,14,0
11781,buick,regal gs,2003.0,19,2
11782,subaru,legacy outback,2003.0,18,0
11783,infiniti,ex35,2011.0,16,7
11784,mercedes-benz,cla 250,2018.0,16,5
11785,kia,k900,2016.0,15,17
11786,rover,evoque,2014.0,18,17
11787,mini,hardtop 4 door,2017.0,15,10
11788,ford,ranger lariat wd supercrew ' box,2019.0,11,12
11789,chevrolet,silverado 3500,2013.0,14,14
11790,lincoln,mark iv,1974.0,1,19
11791,chevrolet,silverado 2500 ltz,2011.0,20,17
11792,chevrolet,silverado 2500 lt,2015.0,4,9
11793,honda,cr-v ex-l,2011.0,4,4
11794,ford,f-150 supercrew cab xlt,2003.0,0,19
11795,jeep,wrangler unlimited sport s,2016.0,14,1
11796,bmw,e46 m3,2006.0,14,19
11797,dodge,durango sxt rwd,2013.0,13,10
11798,mercedes-benz,380sl,1985.0,20,0
11799,ford,f150,1992.0,6,5
11800,mercedes-benz,560 sl,1989.0,8,18
11801,mazda,rx8,2008.0,0,17
11802,buick,encore,2017.0,4,14
11803,chevrolet,silverado 2500 high co,2015.0,1,4
11804,bmw,530i,2017.0,20,2
11805,chevrolet,el camino ss,1984.0,20,18
11806,ford,mustang,1984.0,16,14
11807,kia,"optima lx model, only 45k",2018.0,4,3
11808,ford,f-150 super cab xlt,2014.0,8,11
11809,ford,f- xlt wd supercrew .' box,2018.0,2,5
11810,toyota,tundra 2wd truck sr,2014.0,13,11
11811,gmc,sierra sle 3500,1994.0,0,1
11812,ford,pickup truck,1940.0,19,1
11813,mercedes-benz,cls 400,2016.0,7,20
11814,ford,explorer wd dr platinum,2016.0,20,0
11815,mercedes-benz,sprinter 3500,2013.0,5,16
11816,lexus,is is turbo f sport - 20k,2017.0,16,6
11817,mercedes-benz,s500,1993.0,19,2
11818,hyundai,genesis coupe,2012.0,12,16
11819,chevrolet,deluxe,1952.0,0,9
11820,bmw,5 series 530i,2007.0,7,14
11821,volkswagen,super beetle,1973.0,3,9
11822,ford,escape hybrid limited,2006.0,13,16
11823,ford,escape hybrid limited,2009.0,16,11
11824,mercedes-benz,benz cl600,2004.0,5,8
11825,dodge,charger plus hellcat,2020.0,1,14
11826,toyota,4runner limited,2002.0,13,8
11827,infiniti,fx35,2006.0,10,6
11828,ford,f350 super duty,1996.0,14,0
11829,ford,expedition eddie bauer,1999.0,17,4
11830,nissan,van,2021.0,20,8
11831,ford,mustang v6,2010.0,17,14
11832,mercury,mystique,1998.0,16,7
11833,toyota,sequoia,2010.0,20,9
11834,ford,transit connect,2016.0,15,17
11835,chevrolet,monte carlo,2006.0,15,5
11836,jeep,patriot high,2015.0,9,17
11837,ford,f250 diesel,1987.0,6,2
11838,jeep,cj5,1955.0,14,10
11839,ford,super duty f- srw xlt wd crew cab .' box,2017.0,4,16
11840,infiniti,q50,2016.0,17,12
11841,kia,forte koup ex,2011.0,6,8
11842,kia,amanti,2005.0,6,16
11843,ford,econoline e350,2014.0,14,6
11844,toyota,4-runner,2003.0,9,2
11845,chevrolet,astro,1999.0,18,14
11846,ford,focus se sedan,2018.0,9,5
11847,lexus,es,2010.0,17,8
11848,gmc,6500,2004.0,19,14
11849,cadillac,escalade esv premium luxury,2017.0,9,1
11850,volvo,s40,2008.0,7,10
11851,nissan,versa note,2018.0,16,5
11852,lexus,rc 200t,2016.0,16,13
11853,mazda,cx-9,2017.0,9,9
11854,mercedes-benz,cla,2016.0,9,19
11855,acura,ilx,2016.0,9,18
11856,hyundai,genesis coupe,2011.0,0,20
11857,jaguar,xf,2012.0,8,9
11858,hyundai,veracruz limited,2007.0,0,8
11859,chevrolet,3200,1956.0,18,14
11860,kia,sorento ex sport utility 4d,2019.0,3,1
11861,mercedes-benz,450 sl,1974.0,7,13
11862,audi,a5,2010.0,5,7
11863,ford,f350 super duty lariat,2004.0,2,15
11864,nissan,quest sv,2016.0,7,5
11865,cadillac,deville,1989.0,12,11
11866,ford,e250 cargo van,2005.0,9,12
11867,mercedes-benz,560-class,1986.0,2,18
11868,toyota,sequoia,2011.0,12,2
11869,mini,cooper clubman s,2010.0,13,15
11870,mercedes-benz,560-class,1988.0,14,14
11871,ford,f250,2010.0,17,18
11872,mercedes-benz,560-class,1987.0,14,12
11873,honda,insight,2020.0,14,9
11874,mercedes-benz,560-class,1989.0,5,8
11875,honda,civic,1998.0,18,11
11876,chevrolet,s10 ls,2001.0,3,19
11877,ford,taurus tl,1998.0,8,14
11878,pontiac,grand prix,2005.0,10,18
11879,chevrolet,malibu,1974.0,17,8
11880,lexus,rx 350 rx350,2004.0,16,12
11881,mercedes-benz,450-class,1974.0,1,0
11882,dodge,grand caravan se,2016.0,14,19
11883,mercedes-benz,280se 4.5,1973.0,15,19
11884,audi,q5 bad credit,2017.0,6,10
11885,dodge,challenger r/t,2013.0,7,5
11886,bmw,550i,2009.0,8,8
11887,ford,jailbar,1947.0,1,1
11888,ford,f350 diesel,1989.0,13,13
11889,bmw,6 series 640i gran coupe,2014.0,9,14
11890,ford,mustang premium,2009.0,17,7
11891,toyota,corolla s plus sedan 4d,2014.0,4,0
11892,chevrolet,spark ls,2015.0,2,3
11893,bmw,x3,2015.0,18,18
11894,toyota,sienna l,2017.0,17,16
11895,infiniti,g,2007.0,20,13
11896,jaguar,xjl portfolio,2014.0,3,16
11897,toyota,land cruiser,1999.0,8,0
11898,toyota,corolla le,2004.0,17,19
11899,bmw,535i,2010.0,9,5
11900,toyota,sienna xle,2005.0,2,7
11901,audi,a4,2005.0,19,8
11902,ford,mustang mach 1 fastback,1973.0,0,2
11903,hyundai,elantra se,2007.0,7,2
11904,bmw,x3,2007.0,14,0
11905,lexus,is 250c,2011.0,14,20
11906,bmw,x5 xdrive30i,2010.0,9,18
11907,mercedes-benz,clk320,2005.0,12,13
11908,toyota,pickup,1992.0,16,7
11909,mitsubishi,lancer es,2003.0,19,14
11910,ford,mustang gt,2005.0,2,19
11911,honda,civic,1978.0,14,10
11912,infiniti,i35 luxury,2002.0,11,0
11913,toyota,sienna le,2012.0,9,6
11914,chevrolet,tahoe z71,2005.0,3,8
11915,subaru,impreza 2.0i premium,2015.0,13,16
11916,ford,mustang ecoboost premium,2015.0,3,3
11917,cadillac,elr,2016.0,20,4
11918,ford,f-450,2008.0,8,10
11919,porsche,cayenne diesel,2015.0,19,14
11920,chevrolet,camaro lt,2015.0,16,13
11921,hyundai,sonata gl,2005.0,2,5
11922,toyota,sienna se,2015.0,14,11
11923,acura,tsx,2013.0,7,3
11924,honda,accord ex,2012.0,16,2
11925,gmc,yukon xl,2001.0,0,13
11926,lexus,ls460,2007.0,13,16
11927,nissan,pathfinder se,2014.0,16,8
11928,buick,enclave essence sport,2020.0,11,5
11929,chrysler,200 touring sedan 4d,2014.0,9,0
11930,toyota,avalon trd sedan 4d,2020.0,16,10
11931,infiniti,i35,2002.0,9,12
11932,infiniti,g37,2011.0,8,15
11933,jeep,cherokee sport 4x4,2000.0,18,1
11934,mercedes-benz,cla 250 4matic,2020.0,12,15
11935,jeep,cherokee classic 4x4,2000.0,7,0
11936,ram,1500 classic quad cab,2020.0,10,3
11937,lexus,is 250 sedan 4d,2013.0,1,18
11938,hyundai,sonata se,2009.0,14,14
11939,mercedes-benz,c300,2011.0,1,9
11940,mercedes-benz,benz g550 4matic,2013.0,4,14
11941,nissan,350z,2008.0,8,0
11942,toyota,tundra sr5 v6,2001.0,0,18
11943,mercedes-benz,cls,2018.0,11,13
11944,chevrolet,impala,1965.0,6,10
11945,cadillac,ctsv,2011.0,1,18
11946,bmw,z4,2007.0,16,6
11947,toyota,tacoma long bed sr5,1998.0,16,16
11948,volkswagen,golf sportwagen tsi s,2015.0,12,20
11949,ford,f250 super duty crew cab,2012.0,15,2
11950,acura,mdx touring sport 4wd,2005.0,2,13
11951,chevrolet,silverado 2500 hd regu,2009.0,12,17
11952,nissan,versa s plus,2014.0,15,6
11953,honda,civic ex,2004.0,18,5
11954,ford,f450 super duty xl,2004.0,10,8
11955,lexus,rx 330,2010.0,18,17
11956,jaguar,xe 25t premium sedan 4d,2017.0,8,0
11957,toyota,prius v three wagon 4d,2017.0,14,10
11958,bmw,635csi,1989.0,1,10
11959,mercedes-benz,g550 square,2018.0,11,4
11960,ford,thunderbird,1983.0,18,9
11961,honda,civic sedan 4dr cvt lx,2015.0,10,1
11962,lexus,gx 460 premium,2018.0,17,19
11963,hyundai,elantra se,2015.0,15,1
11964,audi,s4,2015.0,14,18
11965,bmw,5-series,2014.0,14,4
11966,lexus,is 300,2018.0,5,20
11967,ford,mustang v6 premium,2008.0,8,20
11968,volvo,xc40 momentum,2019.0,4,14
11969,hyundai,sonata hybrid limited,2016.0,20,15
11970,mazda,mazda6 sport sedan 4d,2018.0,11,3
11971,mercedes-benz,glk-class glk 350,2014.0,6,4
11972,bmw,540i bad credit,2018.0,7,8
11973,kia,stinger premium sedan 4d,2018.0,15,9
11974,hyundai,venue sel sport utility,2020.0,2,18
11975,mini,paceman cooper s all4,2014.0,17,13
11976,volvo,xc90 t5 momentum sport,2018.0,4,7
11977,hyundai,kona sel sport utility,2020.0,4,6
11978,nissan,rogue sv sport utility 4d,2017.0,7,8
11979,cadillac,cts 3.6 premium,2013.0,8,9
11980,chevrolet,spark ls hatchback 4d,2020.0,12,13
11981,alfa-romeo,romeo giulia sport sedan 4d,2018.0,13,10
11982,nissan,pathfinder platinum sport,2018.0,7,0
11983,chevrolet,"silverado 1500 8"" rea",2020.0,15,18
11984,honda,ridgeline sport pickup 4d,2020.0,4,4
11985,mercedes-benz,glc 300 sport,2020.0,2,15
11986,infiniti,g g37x sedan 4d,2011.0,4,13
11987,bmw,5 series 535i xdrive sedan,2016.0,14,20
11988,toyota,prius six,2009.0,1,10
11989,porsche,boxster,2014.0,9,11
11990,lexus,ls400,2000.0,19,16
11991,mitsubishi,galant,2001.0,8,17
11992,porsche,cayman,2018.0,1,10
11993,toyota,yaris,2008.0,12,20
11994,subaru,impreza,2002.0,10,1
11995,toyota,tundra access cab,2005.0,16,2
11996,porsche,911 carrera,2018.0,13,17
11997,chevrolet,chevelle malibu,1967.0,5,19
11998,honda,odyssey exl,2003.0,11,13
11999,ford,fusion 4dr sedan se fwd,2012.0,2,4
12000,toyota,tacoma sr5,2002.0,8,6
12001,audi,q5 2.0t premium,2013.0,0,9
12002,porsche,boxster,2018.0,11,10
12003,mercedes-benz,glc 43 amg,2018.0,3,8
12004,audi,s5,2015.0,0,16
12005,honda,civic ex sedan,2007.0,13,0
12006,chevrolet,trailblazer lt,2008.0,9,17
12007,rover,defender 110,1990.0,19,18
12008,nissan,versa sv sedan 4d,2018.0,10,12
12009,ford,"transit connect 114.6"" xlt",2013.0,18,20
12010,nissan,versa,2013.0,12,15
12011,jeep,patriot latitude sport,2016.0,15,11
12012,subaru,wrx,2014.0,11,2
12013,volvo,xc60 t5 momentum,2018.0,17,11
12014,mercedes-benz,benz,2003.0,19,19
12015,ford,fusion 4dr sedan se hybrid,2014.0,20,7
12016,chevrolet,volt premier,2017.0,5,0
12017,chevrolet,express 2500,2013.0,11,19
12018,toyota,avalon xl white color,2003.0,16,7
12019,toyota,prius hybrid,2013.0,20,15
12020,chevrolet,suburban 1500,2004.0,0,13
12021,ford,c-max hybrid sel wagon 4d,2014.0,12,15
12022,volvo,xc90,2016.0,4,19
12023,ford,f-150 xlt supercrew 5.5',2018.0,16,11
